index,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
42,AUS,HEALTHEXP,TOT,PC_GDP,A,2013,8.761
139,AUT,HEALTHEXP,TOT,PC_GDP,A,2013,10.286
189,BEL,HEALTHEXP,TOT,PC_GDP,A,2013,10.562
255,CAN,HEALTHEXP,TOT,PC_GDP,A,2013,10.34
317,CZE,HEALTHEXP,TOT,PC_GDP,A,2013,7.807
395,DNK,HEALTHEXP,TOT,PC_GDP,A,2013,10.17
494,FIN,HEALTHEXP,TOT,PC_GDP,A,2013,9.774
577,FRA,HEALTHEXP,TOT,PC_GDP,A,2013,11.436
659,DEU,HEALTHEXP,TOT,PC_GDP,A,2013,10.992
740,GRC,HEALTHEXP,TOT,PC_GDP,A,2013,8.319
785,HUN,HEALTHEXP,TOT,PC_GDP,A,2013,7.249
864,ISL,HEALTHEXP,TOT,PC_GDP,A,2013,8.221
949,IRL,HEALTHEXP,TOT,PC_GDP,A,2013,10.3
1018,ITA,HEALTHEXP,TOT,PC_GDP,A,2013,8.775
1118,JPN,HEALTHEXP,TOT,PC_GDP,A,2013,10.792
1192,KOR,HEALTHEXP,TOT,PC_GDP,A,2013,6.248
1286,LUX,HEALTHEXP,TOT,PC_GDP,A,2013,5.528
1331,MEX,HEALTHEXP,TOT,PC_GDP,A,2013,5.941
1399,NLD,HEALTHEXP,TOT,PC_GDP,A,2013,10.584
1471,NZL,HEALTHEXP,TOT,PC_GDP,A,2013,9.363
1557,NOR,HEALTHEXP,TOT,PC_GDP,A,2013,8.93
1617,POL,HEALTHEXP,TOT,PC_GDP,A,2013,6.375
1696,PRT,HEALTHEXP,TOT,PC_GDP,A,2013,9.078
1739,SVK,HEALTHEXP,TOT,PC_GDP,A,2013,7.509
1811,ESP,HEALTHEXP,TOT,PC_GDP,A,2013,9.067
1889,SWE,HEALTHEXP,TOT,PC_GDP,A,2013,10.945
1959,CHE,HEALTHEXP,TOT,PC_GDP,A,2013,10.831
2029,TUR,HEALTHEXP,TOT,PC_GDP,A,2013,4.404
2117,GBR,HEALTHEXP,TOT,PC_GDP,A,2013,9.979
2197,USA,HEALTHEXP,TOT,PC_GDP,A,2013,16.21
2266,BRA,HEALTHEXP,TOT,PC_GDP,A,2013,7.977
2284,CHL,HEALTHEXP,TOT,PC_GDP,A,2013,7.445
2324,CHN,HEALTHEXP,TOT,PC_GDP,A,2013,4.742
2343,EST,HEALTHEXP,TOT,PC_GDP,A,2013,5.978
2384,IND,HEALTHEXP,TOT,PC_GDP,A,2013,3.749
2402,IDN,HEALTHEXP,TOT,PC_GDP,A,2013,2.961
2445,ISR,HEALTHEXP,TOT,PC_GDP,A,2013,7.079
2489,RUS,HEALTHEXP,TOT,PC_GDP,A,2013,5.081
2507,SVN,HEALTHEXP,TOT,PC_GDP,A,2013,8.74
2544,ZAF,HEALTHEXP,TOT,PC_GDP,A,2013,7.721
6157,COL,HEALTHEXP,TOT,PC_GDP,A,2013,7.492
6302,LVA,HEALTHEXP,TOT,PC_GDP,A,2013,5.396
6400,LTU,HEALTHEXP,TOT,PC_GDP,A,2013,6.136
6621,OAVG,HEALTHEXP,TOT,PC_GDP,A,2013,8.731
6677,CRI,HEALTHEXP,TOT,PC_GDP,A,2013,7.865
6744,BGR,HEALTHEXP,TOT,PC_GDP,A,2013,7.171
6810,HRV,HEALTHEXP,TOT,PC_GDP,A,2013,6.533
6860,CYP,HEALTHEXP,TOT,PC_GDP,A,2013,6.945
6928,MLT,HEALTHEXP,TOT,PC_GDP,A,2013,9.523
6978,ROU,HEALTHEXP,TOT,PC_GDP,A,2013,5.193
