index,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
40,AUS,HEALTHEXP,TOT,PC_GDP,A,2011,8.542
137,AUT,HEALTHEXP,TOT,PC_GDP,A,2011,10.026
187,BEL,HEALTHEXP,TOT,PC_GDP,A,2011,10.392
253,CAN,HEALTHEXP,TOT,PC_GDP,A,2011,10.315
315,CZE,HEALTHEXP,TOT,PC_GDP,A,2011,6.977
393,DNK,HEALTHEXP,TOT,PC_GDP,A,2011,10.153
492,FIN,HEALTHEXP,TOT,PC_GDP,A,2011,9.193
575,FRA,HEALTHEXP,TOT,PC_GDP,A,2011,11.202
657,DEU,HEALTHEXP,TOT,PC_GDP,A,2011,10.776
738,GRC,HEALTHEXP,TOT,PC_GDP,A,2011,9.028
783,HUN,HEALTHEXP,TOT,PC_GDP,A,2011,7.525
862,ISL,HEALTHEXP,TOT,PC_GDP,A,2011,8.251
947,IRL,HEALTHEXP,TOT,PC_GDP,A,2011,10.708
1016,ITA,HEALTHEXP,TOT,PC_GDP,A,2011,8.774
1116,JPN,HEALTHEXP,TOT,PC_GDP,A,2011,10.617
1190,KOR,HEALTHEXP,TOT,PC_GDP,A,2011,6.008
1284,LUX,HEALTHEXP,TOT,PC_GDP,A,2011,6.112
1329,MEX,HEALTHEXP,TOT,PC_GDP,A,2011,5.701
1397,NLD,HEALTHEXP,TOT,PC_GDP,A,2011,10.234
1469,NZL,HEALTHEXP,TOT,PC_GDP,A,2011,9.508
1555,NOR,HEALTHEXP,TOT,PC_GDP,A,2011,8.789
1615,POL,HEALTHEXP,TOT,PC_GDP,A,2011,6.234
1694,PRT,HEALTHEXP,TOT,PC_GDP,A,2011,9.535
1737,SVK,HEALTHEXP,TOT,PC_GDP,A,2011,7.357
1809,ESP,HEALTHEXP,TOT,PC_GDP,A,2011,9.169
1887,SWE,HEALTHEXP,TOT,PC_GDP,A,2011,10.446
1957,CHE,HEALTHEXP,TOT,PC_GDP,A,2011,10.341
2027,TUR,HEALTHEXP,TOT,PC_GDP,A,2011,4.688
2115,GBR,HEALTHEXP,TOT,PC_GDP,A,2011,9.973
2195,USA,HEALTHEXP,TOT,PC_GDP,A,2011,16.3
2264,BRA,HEALTHEXP,TOT,PC_GDP,A,2011,7.788
2282,CHL,HEALTHEXP,TOT,PC_GDP,A,2011,6.772
2322,CHN,HEALTHEXP,TOT,PC_GDP,A,2011,4.309
2341,EST,HEALTHEXP,TOT,PC_GDP,A,2011,5.768
2382,IND,HEALTHEXP,TOT,PC_GDP,A,2011,3.246
2400,IDN,HEALTHEXP,TOT,PC_GDP,A,2011,2.955
2443,ISR,HEALTHEXP,TOT,PC_GDP,A,2011,6.978
2487,RUS,HEALTHEXP,TOT,PC_GDP,A,2011,4.795
2505,SVN,HEALTHEXP,TOT,PC_GDP,A,2011,8.536
2542,ZAF,HEALTHEXP,TOT,PC_GDP,A,2011,7.497
6155,COL,HEALTHEXP,TOT,PC_GDP,A,2011,6.781
6300,LVA,HEALTHEXP,TOT,PC_GDP,A,2011,5.568
6398,LTU,HEALTHEXP,TOT,PC_GDP,A,2011,6.505
6619,OAVG,HEALTHEXP,TOT,PC_GDP,A,2011,8.643
6675,CRI,HEALTHEXP,TOT,PC_GDP,A,2011,8.208
6742,BGR,HEALTHEXP,TOT,PC_GDP,A,2011,7.142
6808,HRV,HEALTHEXP,TOT,PC_GDP,A,2011,7.591
6858,CYP,HEALTHEXP,TOT,PC_GDP,A,2011,6.449
6926,MLT,HEALTHEXP,TOT,PC_GDP,A,2011,8.555
6976,ROU,HEALTHEXP,TOT,PC_GDP,A,2011,4.699
