index,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
41,AUS,HEALTHEXP,TOT,PC_GDP,A,2012,8.676
138,AUT,HEALTHEXP,TOT,PC_GDP,A,2012,10.199
188,BEL,HEALTHEXP,TOT,PC_GDP,A,2012,10.507
254,CAN,HEALTHEXP,TOT,PC_GDP,A,2012,10.429
316,CZE,HEALTHEXP,TOT,PC_GDP,A,2012,7.028
394,DNK,HEALTHEXP,TOT,PC_GDP,A,2012,10.241
493,FIN,HEALTHEXP,TOT,PC_GDP,A,2012,9.554
576,FRA,HEALTHEXP,TOT,PC_GDP,A,2012,11.313
658,DEU,HEALTHEXP,TOT,PC_GDP,A,2012,10.847
739,GRC,HEALTHEXP,TOT,PC_GDP,A,2012,8.792
784,HUN,HEALTHEXP,TOT,PC_GDP,A,2012,7.449
863,ISL,HEALTHEXP,TOT,PC_GDP,A,2012,8.195
948,IRL,HEALTHEXP,TOT,PC_GDP,A,2012,10.687
1017,ITA,HEALTHEXP,TOT,PC_GDP,A,2012,8.784
1117,JPN,HEALTHEXP,TOT,PC_GDP,A,2012,10.791
1191,KOR,HEALTHEXP,TOT,PC_GDP,A,2012,6.133
1285,LUX,HEALTHEXP,TOT,PC_GDP,A,2012,5.584
1330,MEX,HEALTHEXP,TOT,PC_GDP,A,2012,5.842
1398,NLD,HEALTHEXP,TOT,PC_GDP,A,2012,10.539
1470,NZL,HEALTHEXP,TOT,PC_GDP,A,2012,9.649
1556,NOR,HEALTHEXP,TOT,PC_GDP,A,2012,8.778
1616,POL,HEALTHEXP,TOT,PC_GDP,A,2012,6.201
1695,PRT,HEALTHEXP,TOT,PC_GDP,A,2012,9.354
1738,SVK,HEALTHEXP,TOT,PC_GDP,A,2012,7.553
1810,ESP,HEALTHEXP,TOT,PC_GDP,A,2012,9.157
1888,SWE,HEALTHEXP,TOT,PC_GDP,A,2012,10.766
1958,CHE,HEALTHEXP,TOT,PC_GDP,A,2012,10.618
2028,TUR,HEALTHEXP,TOT,PC_GDP,A,2012,4.478
2116,GBR,HEALTHEXP,TOT,PC_GDP,A,2012,10.052
2196,USA,HEALTHEXP,TOT,PC_GDP,A,2012,16.285
2265,BRA,HEALTHEXP,TOT,PC_GDP,A,2012,7.736
2283,CHL,HEALTHEXP,TOT,PC_GDP,A,2012,7.021
2323,CHN,HEALTHEXP,TOT,PC_GDP,A,2012,4.57
2342,EST,HEALTHEXP,TOT,PC_GDP,A,2012,5.79
2383,IND,HEALTHEXP,TOT,PC_GDP,A,2012,3.329
2401,IDN,HEALTHEXP,TOT,PC_GDP,A,2012,2.903
2444,ISR,HEALTHEXP,TOT,PC_GDP,A,2012,7.115
2488,RUS,HEALTHEXP,TOT,PC_GDP,A,2012,4.936
2506,SVN,HEALTHEXP,TOT,PC_GDP,A,2012,8.715
2543,ZAF,HEALTHEXP,TOT,PC_GDP,A,2012,7.753
6156,COL,HEALTHEXP,TOT,PC_GDP,A,2012,6.746
6301,LVA,HEALTHEXP,TOT,PC_GDP,A,2012,5.41
6399,LTU,HEALTHEXP,TOT,PC_GDP,A,2012,6.291
6620,OAVG,HEALTHEXP,TOT,PC_GDP,A,2012,8.691
6676,CRI,HEALTHEXP,TOT,PC_GDP,A,2012,7.909
6743,BGR,HEALTHEXP,TOT,PC_GDP,A,2012,7.579
6809,HRV,HEALTHEXP,TOT,PC_GDP,A,2012,7.611
6859,CYP,HEALTHEXP,TOT,PC_GDP,A,2012,6.555
6927,MLT,HEALTHEXP,TOT,PC_GDP,A,2012,8.994
6977,ROU,HEALTHEXP,TOT,PC_GDP,A,2012,4.718
