index,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
43,AUS,HEALTHEXP,TOT,PC_GDP,A,2014,9.036
140,AUT,HEALTHEXP,TOT,PC_GDP,A,2014,10.368
190,BEL,HEALTHEXP,TOT,PC_GDP,A,2014,10.44
256,CAN,HEALTHEXP,TOT,PC_GDP,A,2014,10.25
318,CZE,HEALTHEXP,TOT,PC_GDP,A,2014,7.653
396,DNK,HEALTHEXP,TOT,PC_GDP,A,2014,10.172
495,FIN,HEALTHEXP,TOT,PC_GDP,A,2014,9.735
578,FRA,HEALTHEXP,TOT,PC_GDP,A,2014,11.581
660,DEU,HEALTHEXP,TOT,PC_GDP,A,2014,11.016
741,GRC,HEALTHEXP,TOT,PC_GDP,A,2014,7.85
786,HUN,HEALTHEXP,TOT,PC_GDP,A,2014,7.07
865,ISL,HEALTHEXP,TOT,PC_GDP,A,2014,8.279
950,IRL,HEALTHEXP,TOT,PC_GDP,A,2014,9.676
1019,ITA,HEALTHEXP,TOT,PC_GDP,A,2014,8.868
1119,JPN,HEALTHEXP,TOT,PC_GDP,A,2014,10.832
1193,KOR,HEALTHEXP,TOT,PC_GDP,A,2014,6.474
1287,LUX,HEALTHEXP,TOT,PC_GDP,A,2014,5.437
1332,MEX,HEALTHEXP,TOT,PC_GDP,A,2014,5.607
1400,NLD,HEALTHEXP,TOT,PC_GDP,A,2014,10.567
1472,NZL,HEALTHEXP,TOT,PC_GDP,A,2014,9.42
1558,NOR,HEALTHEXP,TOT,PC_GDP,A,2014,9.345
1618,POL,HEALTHEXP,TOT,PC_GDP,A,2014,6.246
1697,PRT,HEALTHEXP,TOT,PC_GDP,A,2014,9.024
1740,SVK,HEALTHEXP,TOT,PC_GDP,A,2014,6.893
1812,ESP,HEALTHEXP,TOT,PC_GDP,A,2014,9.09
1890,SWE,HEALTHEXP,TOT,PC_GDP,A,2014,10.98
1960,CHE,HEALTHEXP,TOT,PC_GDP,A,2014,10.994
2030,TUR,HEALTHEXP,TOT,PC_GDP,A,2014,4.347
2118,GBR,HEALTHEXP,TOT,PC_GDP,A,2014,9.958
2198,USA,HEALTHEXP,TOT,PC_GDP,A,2014,16.406
2267,BRA,HEALTHEXP,TOT,PC_GDP,A,2014,8.396
2285,CHL,HEALTHEXP,TOT,PC_GDP,A,2014,7.807
2325,CHN,HEALTHEXP,TOT,PC_GDP,A,2014,4.8
2344,EST,HEALTHEXP,TOT,PC_GDP,A,2014,6.081
2385,IND,HEALTHEXP,TOT,PC_GDP,A,2014,3.62
2403,IDN,HEALTHEXP,TOT,PC_GDP,A,2014,3.117
2446,ISR,HEALTHEXP,TOT,PC_GDP,A,2014,7.154
2490,RUS,HEALTHEXP,TOT,PC_GDP,A,2014,5.296
2508,SVN,HEALTHEXP,TOT,PC_GDP,A,2014,8.502
2545,ZAF,HEALTHEXP,TOT,PC_GDP,A,2014,7.93
6158,COL,HEALTHEXP,TOT,PC_GDP,A,2014,7.203
6303,LVA,HEALTHEXP,TOT,PC_GDP,A,2014,5.457
6401,LTU,HEALTHEXP,TOT,PC_GDP,A,2014,6.199
6622,OAVG,HEALTHEXP,TOT,PC_GDP,A,2014,8.703
6678,CRI,HEALTHEXP,TOT,PC_GDP,A,2014,7.88
6745,BGR,HEALTHEXP,TOT,PC_GDP,A,2014,7.71
6811,HRV,HEALTHEXP,TOT,PC_GDP,A,2014,6.7
6861,CYP,HEALTHEXP,TOT,PC_GDP,A,2014,6.961
6929,MLT,HEALTHEXP,TOT,PC_GDP,A,2014,9.325
6979,ROU,HEALTHEXP,TOT,PC_GDP,A,2014,5.03
